Time Step,Weighted Values
76,"[158496564.5475238, 149595384.8934945, 91875914.1228244, 55782493.79185869, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443931, 227970.49138862907, 138255.42330990403, 83864.74012671602, 50270.802327447294, 24966.680107533048]"
77,"[246641093.07247698, 151477773.8793189, 91969784.04733527, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443931, 227944.65720068905, 138269.58090865525, 82882.54109242387, 41163.0965520555]"
78,"[249744627.83313733, 151632539.22053897, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375817.20486922516, 227967.99913489225, 136650.20846875667, 67866.472853257]"
79,"[249999792.74317405, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619617.8195629593, 375855.68921264523, 225298.1053480459, 111892.89736055763]"
80,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021577.0788182849, 619681.269518545, 371453.7785357616, 184480.1999186176]"
81,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684295.8595074078, 1021681.6901096839, 612423.7457538449, 304156.42962883686]"
82,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2776934.4097220176, 1684468.3343686927, 1009716.0563062112, 501469.17514927004]"
83,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578390.828647795, 2777218.772694479, 1664740.3393994987, 826782.8956690496]"
84,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7548490.344770006, 4578859.663929092, 2744692.807760504, 1363134.5463406069]"
85,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12445356.593096852, 7549263.323470735, 4525233.413692401, 2247428.921377928]"
86,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20518924.13648686, 12446631.019522544, 7460848.584037614, 3705383.867062436]"
87,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33829986.67570815, 20521025.31044284, 12300859.757975748, 6109145.197734934]"
88,"[250000000.0, 151632664.92815834, 91969860.29286058, 55776218.61974194, 33833450.92590281, 20280689.130873844, 10072277.633301128]"
89,"[250000000.0, 151632664.92815834, 91959438.03758909, 55781930.202724904, 33437203.554528605, 16606378.378420714]"
90,"[250000000.0, 151615481.53420356, 91968854.84594247, 55128628.73308124, 27379289.261796933]"
91,"[249971669.37288392, 151631007.2264379, 90891742.8167613, 45140816.58257621]"
92,"[249997266.911913, 149855149.7129999, 74424624.47646646]"
93,"[247069372.85577518, 122705461.43821965]"
94,[202307104.30426708]
13,"[75766116.28615841, 149433565.98873353, 91962688.64187987, 55782540.03710745, 33833820.80915203, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443931, 227970.4913886229, 138271.09253689545, 83845.67649343552, 50857.561926503935, 28998.212468348163]"
14,"[246374298.8021962, 151620840.8746404, 91969860.29286058, 55782540.03710556, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443829, 227970.49138852526, 138238.15029096886, 83849.94412417604, 47809.969708847275]"
15,"[249980505.43145907, 151632664.92815834, 91969860.29285745, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665729, 375859.79824422195, 227916.17880696148, 138245.18642454626, 78825.31401050532]"
16,"[250000000.0, 151632664.92815322, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.859615989, 619688.0441663074, 375770.2519357311, 227927.779430054, 129960.97187873695]"
17,"[249999999.9999915, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713212, 1021692.8596155514, 619540.407262786, 375789.37812977715, 214269.4186973348]"
18,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.134560501, 1684486.7497705997, 1021449.4475123752, 619571.9410257371, 353270.5482668476]"
19,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.72218342, 2777249.134559312, 1684085.4310585472, 1021501.437898098, 582444.6672394479]"
20,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579421, 4578909.72218146, 2776587.471862421, 1684171.1487133605, 960288.9118835358]"
21,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.09196565, 7549345.855576187, 4577818.824819067, 2776728.7963831862, 1583248.7550398668]"
22,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.655974146, 12446767.091960318, 7547547.2698906595, 4578051.829562523, 2610335.899243725]"
23,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915226, 20521249.655965354, 12443801.725483412, 7547931.429767371, 4303716.320755276]"
24,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710595, 33833820.80913777, 20516360.593179457, 12444435.098043496, 7095628.641088519]"
25,"[250000000.0, 151632664.92815834, 91969860.2928581, 55782540.03708205, 33825760.10732887, 20517404.847991545, 11698713.869551687]"
26,"[250000000.0, 151632664.92815426, 91969860.2928187, 55769250.18655296, 33827481.79244959, 19287918.39656447]"
27,"[249999999.99999323, 151632664.9280893, 91947949.03356695, 55772088.76543293, 31800401.327944152]"
28,"[249999999.99988616, 151596539.36889312, 91952629.05894494, 52429998.08618212]"
29,"[249940439.02202347, 151604255.4262812, 86442453.06745547]"
30,"[249953160.64996517, 142519511.0638114]"
31,[234974949.38068807]
