Time Step,Weights
79,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336]"
80,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162]"
81,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724]"
82,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585]"
83,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067]"
84,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467]"
85,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306]"
86,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418]"
87,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185]"
88,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944]"
89,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988]"
90,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127]"
91,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982]"
92,"[1.0, 0.6065306597126334, 0.36787944117144233]"
93,"[1.0, 0.6065306597126334]"
94,[1.0]
13,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417, 0.00012340980408667956]"
14,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417]"
15,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185]"
16,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336]"
17,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162]"
18,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724]"
19,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585]"
20,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067]"
21,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467]"
22,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306]"
23,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418]"
24,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185]"
25,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944]"
26,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988]"
27,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127]"
28,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982]"
29,"[1.0, 0.6065306597126334, 0.36787944117144233]"
30,"[1.0, 0.6065306597126334]"
31,[1.0]
