Time Step,Satellite Index,Satellite Visible,Satellite Available,Active Satellite,Weighted Values,Unweighted Values,Availability,BER,Cost,Latency,Data Transfer Latency,Throughput,Weighted Availability,Weighted BER,Weighted Cost,Weighted Latency,Weighted Data Transfer Latency,Weighted Throughput,Values Used
12,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
12,4,Yes,No,Yes,0.1208847208751868,2.192450541199958,0.0,0.0,0.9836033324480903,0.4012990963290239,,0.0,0.0,0.0,0.0,0.04012990963290239,0.08075481124228441,0.0,Normal
13,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
13,2,Yes,No,No,0.08125786809284184,1.7961820133765087,0.0,0.0,0.9836033324480903,0.302142023089035,,0.0,0.0,0.0,0.0,0.0302142023089035,0.05104366578393835,0.0,Penalty
13,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
13,4,Yes,No,Yes,0.1476972283023513,2.3180559478947202,0.0,0.0,0.9836033324480903,0.4363905858831364,,0.0712598337884415,0.0,0.0,0.0,0.04363905858831364,0.08268021957750521,0.02137795013653245,Normal
14,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
14,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
14,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
14,4,Yes,No,Yes,0.1620295445489733,2.4046097297227487,0.0,0.0,0.9836033324480903,0.47760241302694684,,0.09964452410753709,0.0,0.0,0.0,0.047760241302694684,0.08437594601401747,0.029893357232261126,Normal
15,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
15,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
15,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
15,4,Yes,Yes,Yes,0.16838676071995226,3.1631245299939015,0.6956521739130435,0.0,0.9836033324480903,0.5262417467421959,,0.0999992917833774,0.0,0.0,0.0,0.05262417467421959,0.08576279851071944,0.029999787535013218,Normal
16,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
16,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
16,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
16,4,Yes,Yes,Yes,0.1751271697879784,3.187051087985234,0.6521739130434783,0.0,0.9836033324480903,0.5837221231071458,,0.0999989276930591,0.0,0.0,0.0,0.05837221231071458,0.0867552791693461,0.029999678307917728,Normal
17,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
17,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
17,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
17,4,Yes,Yes,Yes,0.1823936198206316,3.966238719468737,0.6086956521739131,0.75,0.9836033324480903,0.65126808619837,,0.09999823167979105,0.0,0.0,0.0,0.065126808619837,0.08726734169685729,0.029999469503937313,Normal
18,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
18,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
18,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
18,4,Yes,Yes,Yes,0.1901357631503634,3.9376841882843907,0.5652173913043478,0.6875,0.9836033324480903,0.7291558153512118,,0.09999708348584074,0.0,0.0,0.0,0.07291558153512118,0.08722105656949,0.029999125045752223,Normal
19,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
19,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
19,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
19,4,Yes,Yes,Yes,0.3024019395684322,3.910893220433085,0.5217391304347826,0.625,0.9836033324480903,0.8149737685807864,,0.09999518863227219,0.10434782608695653,0.0,0.0,0.08149737685807865,0.08655818003371535,0.029998556589681657,Normal
20,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
20,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
20,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
20,4,Yes,Yes,Yes,0.3009540480141374,3.8773988237448687,0.4782608695652174,0.5625,0.9836033324480903,0.9004983703237208,,0.0999920596396888,0.09565217391304348,0.0,0.0,0.09004983703237208,0.08525441917681519,0.029997617891906636,Normal
21,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
21,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
21,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
21,4,Yes,Yes,Yes,0.36677151665241836,3.82090994152081,0.43478260869565216,0.5,0.9836033324480903,0.9691888095675966,,0.09998688742138387,0.08695652173913043,0.06956521739130435,0.0,0.09691888095675966,0.08333483033880879,0.02999606622641516,Normal
22,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
22,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
22,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
22,4,Yes,Yes,Yes,0.35000694866762716,3.721216172508,0.391304347826087,0.4375,0.9836033324480903,1.0,,0.09997832330818103,0.0782608695652174,0.060869565217391314,0.0,0.1,0.08088301689256415,0.029993496992454308,Normal
23,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
23,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
23,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
23,4,Yes,Yes,Yes,0.3278678673656149,3.5677885823008264,0.34782608695652173,0.375,0.9836033324480903,0.9810477571121251,,0.09996410320605428,0.06956521739130435,0.052173913043478265,0.0,0.09810477571121251,0.07803473025780351,0.029989230961816285,Normal
24,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
24,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
24,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
24,4,Yes,Yes,Yes,0.30125652619951365,3.3696573962244907,0.30434782608695654,0.3125,0.9836033324480903,0.9197552093964941,,0.09994038171806381,0.060869565217391314,0.043478260869565216,0.0,0.09197552093964942,0.07495106465748856,0.029982114515419142,Normal
25,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
25,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
25,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
25,4,Yes,Yes,Yes,0.2723572100944745,3.148678777616298,0.2608695652173913,0.25,0.9836033324480903,0.8364604328237952,,0.09990050180131221,0.052173913043478265,0.034782608695652174,0.0,0.08364604328237953,0.07178449453257088,0.02997015054039366,Normal
26,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
26,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
26,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
26,4,Yes,Yes,Yes,0.24312381831486973,2.9244154995526204,0.21739130434782608,0.1875,0.9836033324480903,0.7495639600926045,,0.09983257323947477,0.043478260869565216,0.026086956521739132,0.0,0.07495639600926045,0.06865243294246251,0.02994977197184243,Normal
27,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
27,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
27,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
27,4,Yes,Yes,Yes,0.2146435542189653,2.7077842933992056,0.17391304347826086,0.125,0.9836033324480903,0.6692455047749355,,0.09971424714100781,0.034782608695652174,0.017391304347826087,0.0,0.06692455047749356,0.06563081655569113,0.02991427414230234,Normal
28,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
28,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
28,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
28,4,Yes,Yes,Yes,0.187286929435167,2.5025816046753033,0.13043478260869565,0.0625,0.9836033324480903,0.598932960166217,,0.09949985888831545,0.026086956521739132,0.008695652173913044,0.0,0.0598932960166217,0.0627610670563985,0.029849957666494634,Normal
29,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
29,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
29,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
29,4,Yes,Yes,Yes,0.16107332522522277,2.309215625847694,0.08695652173913043,0.0,0.9836033324480903,0.5389450084280399,,0.0990822185567467,0.017391304347826087,0.0,0.0,0.053894500842804,0.06006285446756868,0.02972466556702401,Normal
30,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
30,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
30,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
30,4,Yes,Yes,Yes,0.14449436604290875,2.1887880629896515,0.043478260869565216,0.0,0.9836033324480903,0.488162732464823,,0.09814033450898062,0.008695652173913044,0.0,0.0,0.0488162732464823,0.057540340269819225,0.029442100352694185,Normal
31,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
31,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
31,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
31,4,Yes,No,Yes,0.12822321709694967,2.0756867841175874,0.0,0.0,0.9836033324480903,0.44511752842307634,,0.09507435964999973,0.0,0.0,0.0,0.044511752842307635,0.055189156359642125,0.028522307894999918,Normal
32,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
32,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
32,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
32,4,Yes,No,Yes,0.09385052282640433,1.9221085607121333,0.0,0.0,0.9836033324480903,0.4084892216307627,,0.0,0.0,0.0,0.0,0.04084892216307627,0.053001600663328055,0.0,Normal
33,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
33,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
33,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
33,4,Yes,No,Yes,0.08868134472717756,1.8704167797198656,0.0,0.0,0.9836033324480903,0.37713714681874205,,0.0,0.0,0.0,0.0,0.037713714681874205,0.05096763004530335,0.0,Normal
34,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
34,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
34,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
34,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
35,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
35,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
35,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
35,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
36,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
36,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
