Time Step,Throughput Values
35,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
36,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
37,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
38,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
39,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
40,"[250000000.0, 250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
41,"[250000000.0, 250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
42,"[250000000.0, 249999999.45879638, 249985749.77763063, 218995622.936058]"
43,"[249999999.45879638, 249985749.77763063, 218995622.936058]"
44,"[249985749.77763063, 218995622.936058]"
45,[218995622.936058]
1,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
2,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
3,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
4,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
5,"[250000000.0, 250000000.0, 250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
6,"[250000000.0, 250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
7,"[250000000.0, 249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
8,"[249999989.81835788, 249844612.64580032, 245263621.6053181, 124732455.53895551]"
9,"[249844612.64580032, 245263621.6053181, 124732455.53895551]"
10,"[245263621.6053181, 124732455.53895551]"
11,[124732455.53895551]
93,"[81183625.56642075, 234026813.18910366, 249319801.26908258]"
94,"[234026813.18910366, 249319801.26908258]"
95,[249319801.26908258]
76,"[171156964.787405, 247786900.44916108, 249999994.3273032, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
77,"[247786900.44916108, 249999994.3273032, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
78,"[249999994.3273032, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
79,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
80,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
81,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
82,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
83,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
84,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
85,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
86,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
87,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
88,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
89,"[250000000.0, 250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
90,"[250000000.0, 250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
91,"[250000000.0, 249999072.1537798, 246946838.39751148, 206977902.79906303]"
92,"[249999072.1537798, 246946838.39751148, 206977902.79906303]"
93,"[246946838.39751148, 206977902.79906303]"
94,[206977902.79906303]
44,"[93463529.61592396, 248491846.61884576, 249999895.76085177, 249999999.9999424, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
45,"[248491846.61884576, 249999895.76085177, 249999999.9999424, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
46,"[249999895.76085177, 249999999.9999424, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
47,"[249999999.9999424, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
48,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
49,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
50,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
51,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
52,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
53,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
